iid,gender,pid,match,age,race,imprace,imprelig,from,Income,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,QUE BUSCA ,Attractive1,Sincere1,Intelligent1,Fun1,Ambitious1,Has shared interests/hobbies1,QUE PIENSA DE SI MISMO,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,Matches no/si efectivos,no,yes,Si saldrian con ellos otravez,no,yes,Rating que obtuvieron de sus dates,Ambitious,Attractive,Fun,Intelligent,Shared Interests/Hobbies,Sincere,like,prob
281,1,252,0,27,2,2,5,Russia,0.00,5,5,research,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,QUE BUSCA ,20,20,20,15,5,20,QUE PIENSA DE SI MISMO,6,8,7,6,5,Matches no/si efectivos,19,2,Si saldrian con ellos otravez,17,4,Rating que obtuvieron de sus dates,5.95,5.523809524,4.619047619,7.619047619,5.238095238,5.904761905,5.380952381,5.095238095
282,1,252,0,23,1,1,1,UNCC,0.00,4,3,enterpreneur,10,10,10,5,4,4,4,7,8,9,5,7,7,7,10,5,1,QUE BUSCA ,25,15,20,20,10,10,QUE PIENSA DE SI MISMO,7,7,7,8,10,Matches no/si efectivos,14,7,Si saldrian con ellos otravez,13,8,Rating que obtuvieron de sus dates,6.3,6.476190476,7.142857143,6.857142857,5.315789474,7.047619048,6.19047619,5.333333333
283,1,252,0,27,4,1,1,Boston,0.00,4,2,Industry CTO/CEO,9,6,6,6,4,4,8,6,6,8,1,5,3,3,7,2,7,QUE BUSCA ,50,10,10,10,10,10,QUE PIENSA DE SI MISMO,9,6,9,8,9,Matches no/si efectivos,19,2,Si saldrian con ellos otravez,18,3,Rating que obtuvieron de sus dates,6.2,5.1,5.7,7.1,4.444444444,7.2,5.6,6.05
284,1,252,0,27,2,1,5,Iceland,0.00,5,2,Film/Television,9,2,5,7,7,9,8,1,5,9,5,5,9,8,9,8,5,QUE BUSCA ,25,20,25,20,10,0,QUE PIENSA DE SI MISMO,8,7,7,7,7,Matches no/si efectivos,20,1,Si saldrian con ellos otravez,14,7,Rating que obtuvieron de sus dates,6.1,5.80952381,5.952380952,7.047619048,4.75,6.761904762,6,4.952380952
285,1,252,0,24,6,1,1,International Student,0.00,6,6,finance or engineering,5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,QUE BUSCA ,20,20,25,25,5,5,QUE PIENSA DE SI MISMO,9,9,9,9,9,Matches no/si efectivos,19,2,Si saldrian con ellos otravez,19,2,Rating que obtuvieron de sus dates,6.142857143,4.571428571,4.619047619,7,4.476190476,6.714285714,5.380952381,5.095238095
286,1,252,0,22,2,4,7,Russia,0.00,6,3,professor,7,3,4,3,8,7,9,9,4,8,6,8,7,8,6,3,8,QUE BUSCA ,10,15,25,15,15,20,QUE PIENSA DE SI MISMO,5,7,7,7,9,Matches no/si efectivos,21,1,Si saldrian con ellos otravez,21,1,Rating que obtuvieron de sus dates,6.1,4.80952381,5.047619048,6.904761905,4.333333333,6.714285714,5.047619048,4.80952381
287,1,252,0,22,4,1,1,Nepal,0.00,7,3,Writing,2,1,5,7,2,2,9,6,4,10,8,8,10,8,8,8,8,QUE BUSCA ,35,40,5,5,7,8,QUE PIENSA DE SI MISMO,8,8,8,8,9,Matches no/si efectivos,21,1,Si saldrian con ellos otravez,21,1,Rating que obtuvieron de sus dates,6.05,4.35,4.2,6.15,4.052631579,4.85,4.15,3.8
288,1,252,0,27,2,3,5,"Washington, DC",53196.00,6,3,professor,9,5,3,8,5,5,6,4,4,9,2,6,7,5,7,2,2,QUE BUSCA ,20,20,15,25,10,10,QUE PIENSA DE SI MISMO,5,7,7,5,7,Matches no/si efectivos,17,4,Si saldrian con ellos otravez,11,10,Rating que obtuvieron de sus dates,6.55,6,6.142857143,7.095238095,5.277777778,6.80952381,6.095238095,4.666666667
289,1,252,0,28,4,1,2,California,53229.00,4,1,Venture Capital/Consulting/Government,10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,QUE BUSCA ,20,30,10,20,0,20,QUE PIENSA DE SI MISMO,3,8,9,9,9,Matches no/si efectivos,16,5,Si saldrian con ellos otravez,9,12,Rating que obtuvieron de sus dates,6.65,6.095238095,7.380952381,7.19047619,4.944444444,7.047619048,6.666666667,5.666666667
290,1,252,0,34,2,2,6,Israel,0.00,5,2,research,7,1,8,7,7,4,3,2,1,10,1,3,5,9,10,2,5,QUE BUSCA ,30,10,30,10,5,15,QUE PIENSA DE SI MISMO,5,4,10,5,9,Matches no/si efectivos,19,2,Si saldrian con ellos otravez,14,7,Rating que obtuvieron de sus dates,6.380952381,6.571428571,5.380952381,7.523809524,4.9,6.333333333,5.857142857,4.571428571
291,1,252,1,27,4,5,5,New Jersey,0.00,3,2,doctor and entrepreneur,9,7,7,7,7,7,5,6,5,7,5,6,7,5,8,5,5,QUE BUSCA ,20,20,15,15,12,18,QUE PIENSA DE SI MISMO,7,9,9,7,9,Matches no/si efectivos,16,5,Si saldrian con ellos otravez,16,5,Rating que obtuvieron de sus dates,7.857142857,5.095238095,6.095238095,8.142857143,5.238095238,7.095238095,6.285714286,5.19047619
292,1,252,0,28,1,7,1,New York City,25786.00,2,1,Int'l Business,10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,QUE BUSCA ,20,18,20,17,10,15,QUE PIENSA DE SI MISMO,10,10,9,8,10,Matches no/si efectivos,17,4,Si saldrian con ellos otravez,13,8,Rating que obtuvieron de sus dates,7.047619048,7.333333333,6.619047619,7.380952381,4.842105263,6.952380952,6.80952381,4.952380952
293,1,252,0,28,3,3,7,Northern New Jersey,0.00,5,2,Pharmaceuticals/Consulting,6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,QUE BUSCA ,23,18,21,18,10,10,QUE PIENSA DE SI MISMO,7,10,10,8,9,Matches no/si efectivos,19,2,Si saldrian con ellos otravez,15,6,Rating que obtuvieron de sus dates,6.904761905,5.619047619,5.380952381,6.761904762,4.333333333,6.571428571,5.476190476,4.904761905
294,0,308,0,30,4,1,1,New York City,0.00,6,2,Secondary Education Teacher,7,8,4,9,10,10,1,1,7,10,3,10,9,7,8,8,5,QUE BUSCA ,20,20,35,5,10,10,QUE PIENSA DE SI MISMO,7,9,8,7,9,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,5,9,Rating que obtuvieron de sus dates,6.928571429,7.857142857,7.071428571,8.285714286,6.5,7.642857143,7.285714286,5.571428571
295,0,308,0,30,2,5,7,Arizona,39394.00,6,1,High School Social Studies Teacher,7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,QUE BUSCA ,10,18,20,16,16,20,QUE PIENSA DE SI MISMO,7,9,7,8,7,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,12,2,Rating que obtuvieron de sus dates,5.692307692,5.571428571,5.857142857,6.785714286,5.166666667,6.928571429,5.642857143,4.642857143
296,0,308,0,28,2,10,10,New York,40695.00,4,2,Education Policy Analyst,4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,QUE BUSCA ,15,20,35,15,5,10,QUE PIENSA DE SI MISMO,8,9,10,7,9,Matches no/si efectivos,11,3,Si saldrian con ellos otravez,9,5,Rating que obtuvieron de sus dates,7.071428571,5.214285714,5.928571429,7.785714286,5.307692308,7.428571429,6.142857143,5.071428571
297,0,308,1,21,2,9,8,Texas,45788.00,2,1,Literacy Organization head/ Director of Development for non-profit,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,QUE BUSCA ,25,25,15,15,10,10,QUE PIENSA DE SI MISMO,8,10,9,8,9,Matches no/si efectivos,10,4,Si saldrian con ellos otravez,6,8,Rating que obtuvieron de sus dates,6,7.214285714,6.571428571,6.571428571,5.692307692,7.357142857,7.071428571,5
298,0,308,0,22,2,7,1,"Buffalo, NY",37315.00,6,2,English Teacher,3,1,3,5,10,10,3,1,4,10,5,10,10,10,10,9,7,QUE BUSCA ,10,30,20,10,15,15,QUE PIENSA DE SI MISMO,7,9,10,9,10,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,11,3,Rating que obtuvieron de sus dates,5.571428571,5.785714286,5.928571429,7.071428571,4.538461538,7.214285714,6,4.769230769
299,0,308,0,24,4,1,1,Maryland,51663.00,6,2,Program development / policy work,7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4,QUE BUSCA ,10,40,10,20,10,10,QUE PIENSA DE SI MISMO,6,8,7,8,8,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,9,5,Rating que obtuvieron de sus dates,6.071428571,5.785714286,6.785714286,7.428571429,5.083333333,7.714285714,6.142857143,5.285714286
300,0,308,0,35,2,1,1,"Buffalo, NY",32563.00,6,2,Researcher,8,2,8,9,10,10,7,2,5,8,2,10,8,8,10,4,2,QUE BUSCA ,15,20,25,15,15,10,QUE PIENSA DE SI MISMO,9,9,9,9,9,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,11,3,Rating que obtuvieron de sus dates,5.769230769,5.642857143,5.714285714,7.142857143,5.333333333,6.785714286,5.5,4.857142857
301,0,308,0,34,2,3,8,"Washington, DC",0.00,4,1,professor of education,5,3,9,10,7,8,5,1,5,9,5,9,10,9,9,5,9,QUE BUSCA ,20,20,20,20,10,10,QUE PIENSA DE SI MISMO,8,8,8,8,8,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,10,4,Rating que obtuvieron de sus dates,7,6.142857143,6.5,8.071428571,5.615384615,7.5,6.214285714,4.857142857
302,0,308,0,21,2,8,7,Long Island,54303.00,3,1,speech pathologist,10,10,9,7,5,6,6,6,8,5,7,7,7,9,9,6,6,QUE BUSCA ,50,5,20,10,5,10,QUE PIENSA DE SI MISMO,8,8,9,8,10,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,14,1,Rating que obtuvieron de sus dates,5.857142857,5.071428571,6.285714286,5.714285714,5.076923077,5.642857143,5.357142857,4.428571429
303,0,308,0,33,2,2,1,"Brooklyn, NY",16908.00,5,1,Educator,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1,QUE BUSCA ,20,25,25,10,15,5,QUE PIENSA DE SI MISMO,8,10,8,8,7,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,6,8,Rating que obtuvieron de sus dates,6.285714286,7.214285714,6.857142857,7.642857143,6.333333333,7.142857143,6.928571429,4.857142857
304,0,308,0,28,2,1,10,NYC-6 yrs. Grew up in Nebraska,39729.00,7,2,Speech Pathologist,10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9,QUE BUSCA ,5,20,25,25,15,10,QUE PIENSA DE SI MISMO,7,10,7,10,9,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,10,4,Rating que obtuvieron de sus dates,6,6.428571429,7.142857143,6.571428571,5.153846154,7.357142857,6.5,5
305,0,308,0,29,4,6,9,philippines,0.00,4,1,teaching/education,8,2,7,10,7,7,8,2,7,8,7,8,9,7,7,9,8,QUE BUSCA ,10,47,16,12,3,12,QUE PIENSA DE SI MISMO,7,9,8,7,3,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,11,3,Rating que obtuvieron de sus dates,6.214285714,6.571428571,5.928571429,7.214285714,5,7.214285714,5.928571429,5.214285714
306,0,308,0,22,4,6,2,Taiwan,0.00,6,3,professor in college,6,6,9,8,5,5,7,4,5,6,9,9,9,5,5,9,5,QUE BUSCA ,16,20,19,16,18,11,QUE PIENSA DE SI MISMO,7,8,7,7,6,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,12,2,Rating que obtuvieron de sus dates,5.384615385,6.928571429,6.071428571,6.642857143,4.416666667,7.571428571,6.153846154,5.142857143
307,0,308,0,27,4,1,3,Virginia,57316.00,7,2,Teacher,10,8,10,9,8,9,10,1,5,10,7,10,10,8,10,9,3,QUE BUSCA ,10,20,20,15,20,15,QUE PIENSA DE SI MISMO,6,8,8,7,7,Matches no/si efectivos,11,3,Si saldrian con ellos otravez,5,9,Rating que obtuvieron de sus dates,6.307692308,7.214285714,7.142857143,7.857142857,5.916666667,7.928571429,7.214285714,5.714285714
308,1,294,0,27,4,7,3,"Cambridge, Massachusetts",0.00,7,2,Academia; Research; Teaching,7,7,7,8,8,8,8,7,3,7,9,8,9,7,8,7,7,QUE BUSCA ,17,19,18,17,11,18,QUE PIENSA DE SI MISMO,5,10,9,8,5,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,13,1,Rating que obtuvieron de sus dates,7.714285714,5.071428571,5.846153846,8.428571429,5.307692308,8.142857143,6.357142857,5.928571429
309,1,294,0,32,2,5,9,NYC,30587.00,3,2,curriculum developer,6,4,4,9,8,10,8,5,7,9,6,8,9,8,10,4,4,QUE BUSCA ,20,20,20,20,10,10,QUE PIENSA DE SI MISMO,6,10,10,7,6,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,7,7,Rating que obtuvieron de sus dates,7,6.642857143,7.214285714,8.384615385,6.333333333,8.285714286,6.785714286,5.642857143
310,1,294,0,25,2,7,8,NJ,55080.00,3,1,?,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,QUE BUSCA ,24,15,20,20,8,13,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,11,3,Rating que obtuvieron de sus dates,5.785714286,6.071428571,4.923076923,7.538461538,3.833333333,6.923076923,4.714285714,4.785714286
311,1,294,0,29,4,1,1,New York,57513.00,6,1,Entrepreneur,10,8,9,10,7,6,8,9,1,7,4,6,8,10,10,9,8,QUE BUSCA ,50,20,10,10,5,5,QUE PIENSA DE SI MISMO,9,9,9,10,3,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,6,8,Rating que obtuvieron de sus dates,7.5,7.392857143,7.142857143,7.916666667,6.423076923,7.928571429,6.857142857,5.785714286
312,1,294,0,23,2,3,1,NYC,33772.00,4,2,Museum Work (Curation?),7,7,5,7,9,8,10,5,3,8,5,6,9,7,8,2,1,QUE BUSCA ,25,5,30,15,5,20,QUE PIENSA DE SI MISMO,8,7,9,7,8,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,7,7,Rating que obtuvieron de sus dates,7.357142857,6.785714286,6.928571429,7.892857143,7.214285714,7.857142857,7,6.5
313,1,294,0,27,2,2,3,Boston,0.00,4,1,Music Industry,9,8,6,8,6,3,6,1,9,6,3,2,7,8,10,5,1,QUE BUSCA ,19,13,18,18,10,22,QUE PIENSA DE SI MISMO,7,7,8,8,4,Matches no/si efectivos,13,1,Si saldrian con ellos otravez,5,9,Rating que obtuvieron de sus dates,7.166666667,7,7.769230769,8.25,7.285714286,8.214285714,7.642857143,6.285714286
314,1,294,0,32,6,3,1,"New Delhi, India",0.00,6,2,academic or consulting,9,2,7,8,6,4,2,2,2,6,7,3,7,6,8,8,8,QUE BUSCA ,20,10,30,20,10,10,QUE PIENSA DE SI MISMO,7,8,9,7,7,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,13,1,Rating que obtuvieron de sus dates,7.571428571,5.571428571,5.857142857,8.285714286,5.307692308,7.714285714,5.785714286,4.928571429
315,1,294,0,27,2,1,4,way too little space here. world citizen.,0.00,5,3,Academia or UN,8,2,2,8,8,8,8,2,8,7,1,8,9,7,7,2,2,QUE BUSCA ,6.67,19.05,42.86,9.52,14.29,7.62,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,12,2,Si saldrian con ellos otravez,9,5,Rating que obtuvieron de sus dates,7.230769231,6.392857143,6.307692308,8.142857143,5.576923077,7.428571429,6.642857143,6.285714286
316,1,294,1,25,2,3,3,Philadelphia,31857.00,4,1,Investment banking,9,3,5,7,6,6,6,4,6,9,5,4,4,7,9,4,1,QUE BUSCA ,25,20,15,25,10,5,QUE PIENSA DE SI MISMO,7,8,9,7,9,Matches no/si efectivos,8,6,Si saldrian con ellos otravez,5,9,Rating que obtuvieron de sus dates,8.428571429,7.538461538,8.142857143,8,7,7.571428571,7.357142857,6.571428571
317,1,294,0,30,2,1,1,Italy,0.00,4,1,International Development banker,8,1,5,10,6,10,4,3,8,4,1,10,10,8,9,1,1,QUE BUSCA ,50,0,20,20,0,10,QUE PIENSA DE SI MISMO,7,4,8,8,7,Matches no/si efectivos,11,3,Si saldrian con ellos otravez,5,9,Rating que obtuvieron de sus dates,7.615384615,7.928571429,8.615384615,7.916666667,6.583333333,7.714285714,7.714285714,6.384615385
318,1,294,0,29,6,1,1,"Ottawa, Canada",0.00,6,1,"Corporate Finance, Asset Management/ Hedge Funds",8,4,8,6,4,5,7,7,7,7,6,7,8,5,8,7,6,QUE BUSCA ,40,30,10,8,2,10,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,13,1,Rating que obtuvieron de sus dates,7.538461538,5.071428571,6,7.571428571,5.769230769,7.571428571,5.928571429,5.857142857
319,1,294,0,26,2,2,4,New Jersey,0.00,7,2,I am a teacher.,8,7,5,7,5,4,8,7,1,5,7,2,2,10,9,2,3,QUE BUSCA ,20,25,20,10,5,20,QUE PIENSA DE SI MISMO,6,8,9,10,6,Matches no/si efectivos,11,3,Si saldrian con ellos otravez,11,3,Rating que obtuvieron de sus dates,6.833333333,4.428571429,6.357142857,7.538461538,6.166666667,7.714285714,5.714285714,6.285714286
320,1,294,0,36,2,6,8,Pennsylvania,23207.00,5,5,Professor or journalist,4,1,9,9,8,4,6,3,1,10,1,5,7,2,5,2,1,QUE BUSCA ,20,16,16,16,16,16,QUE PIENSA DE SI MISMO,8,9,10,7,7,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,14,1,Rating que obtuvieron de sus dates,7.076923077,5.5,5.642857143,7.642857143,5.666666667,7.071428571,5.571428571,5.428571429
321,1,294,0,29,2,3,3,France  / New York,0.00,5,1,Finance,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,QUE BUSCA ,30,15,15,20,10,10,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,14,1,Si saldrian con ellos otravez,9,5,Rating que obtuvieron de sus dates,6.916666667,6.071428571,5.846153846,7.5,4.666666667,6.571428571,5.857142857,5.714285714
322,0,332,0,34,4,2,1,Tokyo and Texas,0.00,2,2,to get Ph.D and be a professor,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,QUE BUSCA ,2,60,15,8,5,10,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,7,2,Si saldrian con ellos otravez,7,2,Rating que obtuvieron de sus dates,6.222222222,6.444444444,6.111111111,6.888888889,5.125,6.777777778,5.666666667,4.222222222
323,0,332,1,25,4,1,1,Taiwan,0.00,4,3,Education,5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,QUE BUSCA ,10,20,20,20,10,20,QUE PIENSA DE SI MISMO,7,9,7,7,2,Matches no/si efectivos,6,3,Si saldrian con ellos otravez,4,5,Rating que obtuvieron de sus dates,6.555555556,7.777777778,5.777777778,7.333333333,5.666666667,7.888888889,6.777777778,5.555555556
324,0,332,1,23,2,8,3,"Erie, PA",0.00,4,2,school psychologist,8,8,6,10,8,8,9,6,9,7,8,10,8,10,10,7,7,QUE BUSCA ,40,10,15,20,10,5,QUE PIENSA DE SI MISMO,8,9,8,9,6,Matches no/si efectivos,5,4,Si saldrian con ellos otravez,5,4,Rating que obtuvieron de sus dates,6.75,7.111111111,7.666666667,7,7,7.333333333,7.111111111,6
325,0,332,0,30,3,2,4,New York,0.00,6,2,School Psychologist,5,7,9,9,9,9,7,7,7,9,7,9,9,9,9,4,6,QUE BUSCA ,10,20,20,10,10,30,QUE PIENSA DE SI MISMO,7,8,8,6,7,Matches no/si efectivos,6,3,Si saldrian con ellos otravez,6,3,Rating que obtuvieron de sus dates,7,6.222222222,8.111111111,7.333333333,6.75,7.777777778,6.888888889,5.666666667
326,0,332,0,36,1,5,5,"Westchester, new York",0.00,6,4,Educator,2,2,3,8,8,8,2,2,6,9,6,10,8,10,10,10,8,QUE BUSCA ,15,15,15,20,20,15,QUE PIENSA DE SI MISMO,7,9,10,9,9,Matches no/si efectivos,7,2,Si saldrian con ellos otravez,7,2,Rating que obtuvieron de sus dates,6.555555556,4.888888889,6.666666667,7.111111111,5.777777778,8.222222222,5,5.111111111
327,0,332,0,29,2,2,7,USA/American,0.00,6,3,Consulting,1,1,5,10,8,7,7,1,6,10,1,9,8,9,9,1,5,QUE BUSCA ,15,10,20,20,20,15,QUE PIENSA DE SI MISMO,8,9,8,8,10,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,1,8,Rating que obtuvieron de sus dates,7.444444444,8.333333333,8.111111111,7.888888889,7.111111111,7.555555556,7.777777778,6.666666667
328,0,332,0,30,2,1,1,NYC,0.00,3,1,Teacher,8,3,10,10,10,10,10,1,5,10,7,10,10,10,10,5,10,QUE BUSCA ,22,12,30,25,10,1,QUE PIENSA DE SI MISMO,8,9,9,9,9,Matches no/si efectivos,8,1,Si saldrian con ellos otravez,4,5,Rating que obtuvieron de sus dates,6.888888889,7.333333333,7,7.555555556,6.222222222,7.777777778,6.555555556,5.555555556
329,0,332,0,29,2,1,1,"Great Neck, NY",0.00,6,2,teacher,3,2,7,7,10,10,3,1,4,10,2,10,7,6,8,2,1,QUE BUSCA ,15,22,22,16,15,10,QUE PIENSA DE SI MISMO,8,9,8,4,8,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,6,3,Rating que obtuvieron de sus dates,5.875,5,4.777777778,6.777777778,4.888888889,6.888888889,5.222222222,5
330,0,332,0,22,4,3,3,California (West Coast),0.00,7,3,not sure yet :),8,7,7,8,5,5,2,2,9,5,7,2,8,4,9,5,2,QUE BUSCA ,15,25,15,20,10,15,QUE PIENSA DE SI MISMO,8,10,8,9,9,Matches no/si efectivos,8,1,Si saldrian con ellos otravez,4,5,Rating que obtuvieron de sus dates,7.333333333,7.555555556,7.444444444,7.888888889,6.111111111,7.222222222,6.444444444,5.555555556
331,0,332,0,34,2,1,1,New Jersey,0.00,6,3,Early Childhood Ed. - College/univ. faculity,4,7,4,6,7,7,10,2,1,9,3,7,7,9,9,4,10,QUE BUSCA ,15,15,10,25,10,25,QUE PIENSA DE SI MISMO,,,,,,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,8,1,Rating que obtuvieron de sus dates,5.666666667,4.444444444,4.666666667,6,4.875,6.777777778,4.444444444,3.888888889
332,1,322,0,30,4,1,1,japan,0.00,7,4,medical examiner or researcher,7,2,8,5,10,10,7,3,7,9,5,8,10,5,9,7,1,QUE BUSCA ,60,10,10,10,5,5,QUE PIENSA DE SI MISMO,6,8,7,9,9,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.5,5.1,7.1,8.3,4.888888889,8.444444444,6.3,5.2
333,1,322,0,23,2,5,3,"Portland, OR",0.00,3,1,Investment Banking,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,QUE BUSCA ,50,5,15,20,10,0,QUE PIENSA DE SI MISMO,7,6,9,7,9,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,2,8,Rating que obtuvieron de sus dates,6.428571429,7.8,8.1,7.9,6.444444444,7.666666667,8.15,5.3
334,1,322,0,29,4,1,1,New York/South Korea/Japan,0.00,5,3,Healthcare,9,4,9,9,8,8,5,6,8,5,5,6,6,3,5,8,5,QUE BUSCA ,40,10,15,10,10,15,QUE PIENSA DE SI MISMO,8,8,8,8,7,Matches no/si efectivos,10,1,Si saldrian con ellos otravez,5,5,Rating que obtuvieron de sus dates,6.777777778,7.3,8,7.9,6.111111111,7.222222222,7.3,5.4
335,1,322,0,24,2,1,8,Michigan,0.00,3,3,research,9,1,9,4,7,7,4,1,4,8,6,5,4,3,8,5,7,QUE BUSCA ,20,10,20,20,15,15,QUE PIENSA DE SI MISMO,8,7,8,8,7,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,4,6,Rating que obtuvieron de sus dates,8.125,6.222222222,6.333333333,8.666666667,5.625,7.75,6.111111111,5.333333333
336,1,322,0,25,3,1,5,Miami,0.00,5,2,Architecture and design,5,4,4,5,8,10,4,1,1,9,4,6,10,10,10,3,4,QUE BUSCA ,20,15,30,10,15,10,QUE PIENSA DE SI MISMO,4,8,6,7,8,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.5,6.1,7.4,8,5.222222222,7.777777778,6.7,5.6
337,1,322,1,28,2,1,1,"Dallas, Texas",0.00,5,3,Civil Engineer,9,9,8,8,8,7,5,4,6,7,5,7,8,7,6,4,4,QUE BUSCA ,17,17,17,17,16,16,QUE PIENSA DE SI MISMO,6,6,6,6,6,Matches no/si efectivos,7,3,Si saldrian con ellos otravez,6,4,Rating que obtuvieron de sus dates,6.666666667,5.9,7.2,8.2,5.5,8.333333333,6.5,5.7
338,1,322,0,27,6,1,1,"Bombay, India",0.00,4,2,Real Estate Consulting,4,2,7,6,8,8,8,6,6,8,4,10,10,7,7,5,10,QUE BUSCA ,10,20,25,20,20,5,QUE PIENSA DE SI MISMO,7,9,9,8,10,Matches no/si efectivos,8,2,Si saldrian con ellos otravez,7,3,Rating que obtuvieron de sus dates,7.375,4.8,5.8,8,3.777777778,7.555555556,5.2,4.3
339,1,322,1,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,QUE BUSCA ,,,,,,,QUE PIENSA DE SI MISMO,8,3,7,9,6,Matches no/si efectivos,6,4,Si saldrian con ellos otravez,3,7,Rating que obtuvieron de sus dates,7.3,7,7.8,7.7,6.444444444,7.333333333,7.2,6
340,1,322,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,QUE BUSCA ,,,,,,,QUE PIENSA DE SI MISMO,7,5,7,6,6,Matches no/si efectivos,9,1,Si saldrian con ellos otravez,3,7,Rating que obtuvieron de sus dates,7.142857143,7.777777778,6.888888889,7.777777778,5.777777778,6.375,6.777777778,5.111111111
341,0,361,0,23,4,3,10,New Jersey,0.00,6,1,undecided,1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,QUE BUSCA ,20,20,20,20,20,0,QUE PIENSA DE SI MISMO,7,8,7,8,8,Matches no/si efectivos,15,3,Si saldrian con ellos otravez,11,7,Rating que obtuvieron de sus dates,6.5625,7.0625,7.1875,7.4375,5.9375,7.625,6.9375,6.1875
342,0,361,0,33,3,2,1,"Palo Alto, CA",0.00,6,3,University President,3,4,4,10,9,10,1,1,8,7,10,8,10,1,4,10,4,QUE BUSCA ,40,15,25,5,15,0,QUE PIENSA DE SI MISMO,10,10,10,9,10,Matches no/si efectivos,17,1,Si saldrian con ellos otravez,15,3,Rating que obtuvieron de sus dates,6.4375,5.9375,6.1875,6.75,5.333333333,6.75,6,5.25
343,0,361,1,32,2,5,6,New York,25831.00,2,1,Epidemiologist,6,3,3,10,10,10,8,2,3,5,4,8,9,9,9,9,7,QUE BUSCA ,5,25,20,10,15,25,QUE PIENSA DE SI MISMO,7,9,10,7,9,Matches no/si efectivos,16,2,Si saldrian con ellos otravez,15,3,Rating que obtuvieron de sus dates,7.25,5.25,5.8125,7.8125,5.6,7.75,5.5625,6.125
344,0,361,0,26,3,1,3,New Mexico,28759.00,4,3,Security Policy - Homeland Defense,9,7,5,6,7,6,4,3,9,4,4,9,9,9,9,9,5,QUE BUSCA ,15,15,15,20,20,15,QUE PIENSA DE SI MISMO,7,7,8,9,9,Matches no/si efectivos,14,4,Si saldrian con ellos otravez,11,7,Rating que obtuvieron de sus dates,7.444444444,6.888888889,7.166666667,7.555555556,6.722222222,7.277777778,6.694444444,6.125
